iter	Passed	Remaining
0	147	147024
1	149	74494
2	150	50109
3	152	37934
4	153	30617
5	155	25740
6	156	22248
7	158	19625
8	159	17588
9	161	15963
10	162	14631
11	164	13517
12	165	12586
13	167	11779
14	168	11085
15	170	10476
16	171	9935
17	173	9454
18	174	9025
19	176	8639
20	177	8288
21	179	7968
22	180	7682
23	182	7417
24	184	7176
25	185	6955
26	187	6747
27	188	6552
28	190	6371
29	191	6202
30	193	6045
31	194	5898
32	196	5756
33	197	5625
34	199	5502
35	201	5382
36	202	5269
37	204	5167
38	205	5069
39	207	4974
40	208	4883
41	210	4799
42	211	4717
43	213	4638
44	214	4560
45	216	4487
46	217	4417
47	219	4348
48	220	4284
49	222	4221
50	223	4163
51	225	4105
52	226	4052
53	228	4000
54	229	3949
55	231	3901
56	232	3853
57	234	3807
58	236	3768
59	237	3725
60	239	3684
61	240	3644
62	242	3605
63	244	3569
64	245	3532
65	247	3496
66	248	3462
67	250	3429
68	251	3397
69	253	3365
70	254	3335
71	256	3306
72	258	3276
73	259	3246
74	260	3217
75	262	3190
76	264	3165
77	265	3139
78	267	3113
79	268	3090
80	270	3066
81	271	3041
82	273	3017
83	274	2993
84	276	2972
85	277	2950
86	279	2929
87	280	2908
88	282	2888
89	283	2871
90	285	2852
91	287	2833
92	288	2814
93	290	2796
94	291	2776
95	292	2757
96	294	2740
97	296	2725
98	297	2707
99	299	2694
100	300	2679
101	302	2664
102	304	2648
103	305	2633
104	307	2617
105	308	2603
106	310	2589
107	311	2574
108	313	2561
109	314	2548
110	316	2535
111	318	2522
112	319	2508
113	321	2495
114	322	2482
115	324	2469
116	325	2457
117	327	2446
118	328	2435
119	330	2424
120	332	2412
121	333	2401
122	335	2391
123	337	2381
124	338	2370
125	340	2360
126	342	2351
127	343	2342
128	345	2332
129	347	2322
130	348	2313
131	350	2304
132	352	2294
133	353	2286
134	355	2276
135	356	2266
136	358	2257
137	359	2247
138	361	2238
139	362	2228
140	364	2218
141	365	2209
142	367	2200
143	368	2191
144	370	2182
145	371	2173
146	373	2164
147	374	2156
148	376	2147
149	377	2139
150	379	2132
151	380	2124
152	382	2117
153	384	2110
154	385	2102
155	387	2094
156	388	2087
157	390	2079
158	391	2071
159	393	2064
160	394	2056
161	396	2049
162	397	2041
163	399	2034
164	400	2027
165	402	2020
166	403	2013
167	405	2006
168	406	1999
169	408	1992
170	409	1985
171	410	1978
172	412	1971
173	413	1964
174	415	1957
175	416	1951
176	418	1945
177	419	1938
178	421	1932
179	422	1925
180	424	1919
181	425	1913
182	427	1906
183	428	1900
184	430	1895
185	431	1890
186	433	1885
187	435	1879
188	436	1873
189	438	1868
190	440	1863
191	441	1857
192	442	1851
193	444	1846
194	446	1842
195	447	1837
196	449	1831
197	450	1826
198	452	1821
199	453	1815
200	455	1810
201	456	1804
202	458	1799
203	460	1795
204	461	1789
205	462	1784
206	464	1779
207	465	1774
208	467	1768
209	468	1763
210	470	1758
211	471	1754
212	473	1749
213	474	1744
214	476	1740
215	478	1736
216	480	1732
217	481	1727
218	483	1724
219	485	1720
220	486	1715
221	488	1711
222	490	1707
223	491	1704
224	493	1699
225	494	1694
226	496	1690
227	497	1685
228	499	1680
229	500	1676
230	502	1671
231	503	1668
232	505	1664
233	507	1660
234	508	1655
235	510	1652
236	511	1647
237	513	1643
238	514	1638
239	516	1634
240	517	1630
241	519	1626
242	521	1623
243	522	1619
244	524	1615
245	525	1611
246	527	1607
247	528	1602
248	530	1599
249	531	1595
250	533	1593
251	535	1590
252	537	1586
253	538	1582
254	540	1578
255	541	1573
256	543	1570
257	544	1566
258	546	1562
259	547	1558
260	549	1555
261	550	1551
262	552	1547
263	553	1544
264	555	1541
265	557	1537
266	558	1533
267	560	1529
268	561	1525
269	562	1521
270	564	1518
271	565	1514
272	567	1510
273	568	1507
274	570	1503
275	571	1499
276	573	1495
277	574	1492
278	575	1488
279	577	1484
280	578	1481
281	580	1477
282	581	1473
283	583	1470
284	584	1466
285	586	1463
286	587	1459
287	588	1455
288	590	1452
289	591	1448
290	593	1445
291	594	1442
292	596	1439
293	598	1436
294	599	1432
295	601	1429
296	602	1426
297	603	1422
298	605	1419
299	607	1416
300	608	1413
301	610	1410
302	611	1406
303	613	1403
304	614	1400
305	615	1396
306	617	1393
307	618	1389
308	620	1386
309	621	1383
310	622	1380
311	624	1376
312	625	1373
313	627	1370
314	628	1367
315	630	1363
316	631	1360
317	633	1357
318	634	1354
319	636	1351
320	637	1348
321	639	1345
322	640	1342
323	641	1339
324	643	1336
325	644	1332
326	646	1329
327	647	1326
328	648	1323
329	650	1320
330	651	1317
331	653	1314
332	654	1311
333	656	1308
334	657	1305
335	659	1302
336	660	1299
337	662	1296
338	663	1293
339	664	1290
340	666	1287
341	667	1284
342	669	1281
343	670	1279
344	672	1276
345	673	1272
346	674	1270
347	676	1267
348	678	1264
349	679	1262
350	681	1259
351	682	1256
352	684	1253
353	685	1251
354	687	1248
355	688	1245
356	690	1242
357	691	1239
358	692	1237
359	694	1234
360	695	1231
361	697	1228
362	698	1226
363	700	1223
364	701	1220
365	703	1217
366	704	1215
367	705	1212
368	707	1209
369	708	1206
370	710	1204
371	711	1201
372	713	1198
373	714	1195
374	715	1193
375	717	1190
376	718	1187
377	720	1185
378	721	1182
379	723	1179
380	724	1177
381	726	1174
382	727	1172
383	729	1169
384	730	1166
385	731	1164
386	733	1161
387	734	1159
388	736	1156
389	737	1153
390	739	1151
391	740	1148
392	742	1146
393	743	1143
394	745	1141
395	746	1138
396	747	1136
397	749	1133
398	750	1131
399	752	1128
400	753	1125
401	755	1123
402	756	1120
403	758	1118
404	759	1115
405	760	1113
406	762	1110
407	763	1108
408	765	1105
409	766	1103
410	768	1100
411	769	1098
412	771	1095
413	772	1093
414	774	1091
415	775	1088
416	777	1086
417	778	1083
418	779	1081
419	781	1079
420	782	1076
421	784	1074
422	786	1072
423	787	1069
424	788	1067
425	790	1065
426	791	1062
427	793	1060
428	794	1058
429	796	1055
430	797	1053
431	799	1051
432	801	1048
433	802	1046
434	804	1044
435	805	1042
436	807	1040
437	809	1038
438	810	1035
439	812	1033
440	813	1031
441	815	1029
442	816	1027
443	818	1024
444	819	1022
445	821	1020
446	822	1017
447	824	1015
448	826	1013
449	827	1011
450	829	1009
451	830	1007
452	832	1004
453	833	1002
454	834	1000
455	836	997
456	837	995
457	839	992
458	840	990
459	841	988
460	843	986
461	844	983
462	846	981
463	847	979
464	849	977
465	850	974
466	852	972
467	853	970
468	855	968
469	856	965
470	858	963
471	859	961
472	860	959
473	862	957
474	864	955
475	865	952
476	867	950
477	868	948
478	869	946
479	871	944
480	872	941
481	874	939
482	875	937
483	877	935
484	878	933
485	880	930
486	881	928
487	883	926
488	884	924
489	885	922
490	887	919
491	888	917
492	890	915
493	891	913
494	893	911
495	894	909
496	896	907
497	897	905
498	899	902
499	900	900
500	902	898
501	903	896
502	905	894
503	906	892
504	908	890
505	909	888
506	911	886
507	912	883
508	914	881
509	915	879
510	917	877
511	918	875
512	920	873
513	921	871
514	922	869
515	924	867
516	925	864
517	927	862
518	928	860
519	930	858
520	931	856
521	933	854
522	934	852
523	936	850
524	937	848
525	939	846
526	941	844
527	942	842
528	944	840
529	946	838
530	947	836
531	949	835
532	951	833
533	952	831
534	954	829
535	956	827
536	957	825
537	959	823
538	960	821
539	962	819
540	963	817
541	965	815
542	967	814
543	968	812
544	970	810
545	971	807
546	973	805
547	974	803
548	976	802
549	978	800
550	979	798
551	981	796
552	982	794
553	984	792
554	985	790
555	987	788
556	989	786
557	990	784
558	992	782
559	993	780
560	995	779
561	996	776
562	998	774
563	999	772
564	1001	770
565	1002	768
566	1004	766
567	1005	764
568	1007	762
569	1008	760
570	1010	758
571	1011	756
572	1013	755
573	1014	753
574	1016	751
575	1017	749
576	1019	747
577	1020	745
578	1022	743
579	1023	741
580	1025	739
581	1026	737
582	1028	735
583	1029	733
584	1031	731
585	1032	729
586	1034	727
587	1035	725
588	1037	723
589	1038	721
